gender,age,height_in_cm,marital_status,education,profession,religion,language,community,city,country,food_preferences,drinks,smokes,skin_tone,build,category
F,24,154,NeverMarried,Highschool-Commerce,EventManager,Christian,Urdu,RomanCatholic,Lahore,Pakistan,Vegetarian,DoesntDrink,DoesntSmoke,Wheatishskintone,AverageBuild,3
F,27,170,NeverMarried,Masters-Arts,Notworking,Muslim,Hindi,Sunni,Lucknow,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,2
F,28,154,NeverMarried,Masters-Management,Notworking,Muslim,Urdu,Sunni,Hyderabad,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,VeryFairskinned,SlimBuild,3
F,30,152,NeverMarried,Bachelors-Advertising/Marketing,Journalist,Hindu,Marathi,Maratha,Mumbai,India,Non-Vegetarian,DrinksOccasionally,DoesntSmoke,Wheatishskintone,AverageBuild,0
F,26,152,NeverMarried,Undergraduate-Arts,PhysicianAssistant,Hindu,Hindi,Chaurasia,Delhi-NCR,India,Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,SlimBuild,0
F,25,157,NeverMarried,Diploma-Arts,Teacher,Sikh,Punjabi,Gursikh,Delhi,India,Vegetarian,DoesntDrink,DoesntSmoke,Wheatishskintone,AverageBuild,3
F,24,165,NeverMarried,Masters-Commerce,AccountingProfessional,Hindu,Sindhi,Sindhi-Baibhand, Mandsaur,India,Vegetarian,DoesntDrink,DoesntSmoke,Wheatishskintone,AthleticBuild,3
F,32,160,NeverMarried,Masters-Management,InvestmentProfessional,Hindu,Hindi,Yadav,Bhopal,India,Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,SlimBuild,5
F,30,157,NeverMarried,Masters-Arts,NotSpecified,Hindu,Bengali,Namasudra,Kolkata,India,Non-Vegetarian,DrinksOccasionally,SmokesOccasionally,Wheatishskintone,SlimBuild,5
F,25,160,NeverMarried,Bachelors-Commerce,Notworking,Hindu,Hindi,Kurmi,Hoshangabad,India,Vegan,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,5
F,31,154,NeverMarried,Doctorate-Engineering/Technology,Writer,Hindu,Kashmiri,Brahmin-KashmiriPandit,Indore,India,Vegetarian,DoesntDrink,DoesntSmoke,Wheatishskintone,AverageBuild,6
F,32,137,NeverMarried,Undergraduate-Education,Notworking,Buddhist,Marathi,NotSpecified,Mumbai,India,OccasionallyNon-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,SlimBuild,7
F,26,165,NeverMarried,Masters-Finance,AccountingProfessional,Hindu,Gujarati,Patel-Leva,TX,USA,Non-Vegetarian,DrinksOccasionally,DoesntSmoke,VeryFairskinned,SlimBuild,5
F,25,134,NeverMarried,Undergraduate-Commerce,CustomerSupport/BPO/KPOProfessional,NoReligion,Malayalam,NotSpecified,Mumbai,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Darkskinned,AverageBuild,7
F,26,152,NeverMarried,Bachelors-Computers/IT,NotSpecified,Hindu,Bengali,96KKokanastha,Howra,India,Non-Vegetarian,DoesntDrink,DoesntSmoke,Fairskinned,AverageBuild,0
F,29,152,NeverMarried,Masters-Computers/IT,Notworking,Hindu,Tamil,VanniyakullakKshatriya,Cuddalore,India,OccasionallyNon-Vegetarian,DoesntDrink,DoesntSmoke,VeryFairskinned,SlimBuild,3
